,title,price,link
212,"LENOVO CHROMEBOOK 100E 3rd GEN| 4GB RAM DDR4 | 64GB SSD EMMC | 11.6"" SCREEN | PLAYSTORE | Update 2030","Rs. 13,499",//www.daraz.pk/products/lenovo-chromebook-100e-3rd-gen-4gb-ram-ddr4-64gb-ssd-emmc-116-screen-playstore-update-2030-i894527108.html
213,Daraz Like New Laptops - Lenovo Thinkpad X230 Core i5 3rd Gen 4GB RAM 500GB 12.5″ Windows 10 (Free Laptop Bag),"Rs. 22,999",//www.daraz.pk/products/x230-i5-3rd-4gb-500-10-i451979359.html
214,Daraz Like New Laptops - Dell Latitude E7450 - Intel Core i7-5th Generation - 8gb Ram 500gb HDD - 14.1 inch Screen Size,"Rs. 38,899",//www.daraz.pk/products/daraz-like-new-laptops-dell-latitude-e7450-intel-core-i7-5th-generation-8gb-ram-500gb-hdd-141-inch-screen-size-i468815753.html
215,"Daraz Like New Laptops - Dell Chromebook 3189 - 4GB RAM, 32GB Storage, Chrome OS X360 Touch Screen Convertible 2 in 1 laptop","Rs. 17,099",//www.daraz.pk/products/daraz-like-new-laptops-dell-chromebook-3189-4gb-ram-32gb-storage-chrome-os-x360-touch-screen-convertible-2-in-1-laptop-i594482853.html
216,"Lenovo | ChromeBook 100E | Intel Dual-Core N3350 | 4GB DDR4 RAM | 32GB Storage | 11.6″ Display | Webcam | Playstore Supported | 8 Hours Battery | ChromeBook, Play Store","Rs. 9,499",//www.daraz.pk/products/lenovo-chromebook-100e-intel-dual-core-n3350-4gb-ddr4-ram-32gb-storage-116-display-webcam-playstore-supported-8-hours-battery-chromebook-play-store-i452223346.html
217,Daraz Like new Laptops - Dell Latitude e5440 - Core i3-4th Generation - 4GB Ram 500GB HDD - 14.0 Inch Screen Size - FREE LAPTOP BAG,"Rs. 37,000",//www.daraz.pk/products/daraz-like-new-laptops-dell-latitude-e5440-core-i3-4th-generation-4gb-ram-500gb-hdd-140-inch-screen-size-free-laptop-bag-i430225985.html
218,"Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG","Rs. 13,999",//www.daraz.pk/products/4gb-4gb-16gb-ssd-hdmi-wifi-os-n3060-i536113542.html
219,"Daraz Like New Laptops - Acer Chromebook R11 360 Touchscreen 11.6"" Quad N3150 4GB 16GB SSD Touch Screen (FREE LAPTOP BAG)","Rs. 11,999",//www.daraz.pk/products/r11-360-116-n3150-4gb-16gb-ssd-i448777095.html
220,"Dell Latitude 5530, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 15.6"" Led Display, Numeric Keypad (Windows 10 Registered) FREE LAPTOP BAG - Daraz Like New Laptops","Rs. 28,999",//www.daraz.pk/products/5530-3rd-i5-8gb-500gb-156-led-10-i433806046.html
221,"Lenovo Thinkpad x270 Ultra Book, Core i5 7th generation, 8GB DDR4 Ram, 256GB SSD, 12.5"" Led Display, Intel HD Graphics Windows 11 Licensed (FREE LAPTOP BAG) - Daraz like new laptops","Rs. 36,999",//www.daraz.pk/products/x270-7th-i5-8gb-ddr4-256gb-ssd-125-led-hd-11-i495559904.html
222,LENOVO N22/N23 ORIGINAL CHROMEBOOK | ROTATIBLE CAMERA | 4 TO 6 HOURS BATTERY TIMING | WINDOWS 10 INSTALLED | 4GB RAM | 16GB SSD STORAGE | WITH ORIGINAL CHARGER,"Rs. 8,400",//www.daraz.pk/products/lenovo-n22n23-original-chromebook-rotatible-camera-4-to-6-hours-battery-timing-windows-10-installed-4gb-ram-16gb-ssd-storage-with-original-charger-i573269703.html
223,"Dell Latitude E5480 14” Laptop (14” FHD Display, i5-6300U 2.40GHz, 8GB DDR4 RAM, 256GB SSD, Windows 10 64bit) - With Bag Gift - Daraz Like New Laptops","Rs. 50,999",//www.daraz.pk/products/e5480-14-14-fhd-i5-6300u-ghz-8gb-ddr4-240-gb-ssd-10-64-i460149840.html
224,Daraz Like New Laptops - Hp Elite book 820 G3 - Core i7 6th Generation - 16GB RAM - 512GB SSD - 12.5inch Screen,"Rs. 47,499",//www.daraz.pk/products/hp-820-g3-6th-i7-16gb-ssd-512gb-i405813600.html
225,"HP 255 G4 15.6"" LED - AMD A6-6310 processor 1.8 GHz - 8 GB DDR3 SDRAM - 256 GB SSD - Windows 10 Pro 64-bit (English) - 1366 x 768 - AMD Radeon R4 Graphics - Daraz Like New Laptops","Rs. 41,999",//www.daraz.pk/products/hp-255-g4-4-led-amd-156-4-ghz-8-gb-ddr3-sdram-a6-6310-gb-ssd-10-64-1366x768-amd-r4-i388069262.html
226,DARAZ LIKE NEW LAPTOPS - DELL CHROME BOOK 11 3180 - 4GB RAM - 16GB SSD - FREE LAPTOP BAG,"Rs. 14,449",//www.daraz.pk/products/daraz-like-new-laptops-dell-chrome-book-11-3180-4gb-ram-16gb-ssd-free-laptop-bag-i435929634.html
227,"Dell Latitude 5440, Core i3 4th generation, 8GB Ram, 500GB Hard Drive, 14"" Led Display, (Windows 10 Registered) FREE LAPTOP BAG - Daraz Like New Laptops","Rs. 29,999",//www.daraz.pk/products/dell-latitude-5440-core-i3-4th-generation-8gb-ram-500gb-hard-drive-14-led-display-windows-10-registered-free-laptop-bag-daraz-like-new-laptops-i407513989.html
228,"Samsung Chromebook 4 Chrome OS 11.6"" - HD Intel Celeron Processor N4000 - 4GB DDR4 RAM - 32GB eMMC - Gigabit Wi-Fi - Intel HD Graphics 600 - XE310XBA-K01US - Play Store - All Metal Body","Rs. 13,299",//www.daraz.pk/products/samsung-chromebook-4-chrome-os-116-hd-intel-celeron-processor-n4000-4gb-ddr4-ram-32gb-emmc-gigabit-wi-fi-intel-hd-graphics-600-xe310xba-k01us-play-store-all-metal-body-i222676112.html
229,Daraz Like New DELL WINDOWS CHROMEBOOK LAPTOP 3120 P22T - RAM 4GB/ ROM 16GB - Windows 10 -  11inch Screen - FREE LAPTOP BAG,"Rs. 8,999",//www.daraz.pk/products/3120-p22t-4gb-16gb-10-11-i531573725.html
230,"Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Play Store, Chrome OS - With Bag Gift - Daraz Like New Laptops","Rs. 18,499",//www.daraz.pk/products/4gb-4gb-16gb-ssd-hdmi-wifi-n3060-hd-ips-os-i460108175.html
231,"Lenovo ThinkPad Yoga 11e 11.6"" 2-in-1 Touchscreen Laptop (Intel® Core™ i3 7th Gen 8GB RAM, 256GB SSD, Webcam) Black - With Bag Gift - Daraz Like New Laptops","Rs. 41,999",//www.daraz.pk/products/11e-116-1-2-i3-7th-8gb-256gb-ssd-i460076650.html
232,Daraz Like New Laptops - Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported -,"Rs. 7,999",//www.daraz.pk/products/daraz-like-new-laptops-lenovo-n22-chromebook-116-4-gb-ram-16-gb-rom-with-play-store-pubg-supported-i413236353.html
233,HP Chromebook 4GB RAM 32GB ROM Playstore Supported Chromebook,"Rs. 9,999",//www.daraz.pk/products/hp-4gb-32gb-i478582140.html
234,"Dell Latitude E7440 - 14"" LED - Core i5 4th Generation - 4GB RAM - 500GB HDD -  FREE LAPTOP BAG Windows 10 (Registered Windows) - Daraz like new laptops","Rs. 31,499",//www.daraz.pk/products/dell-latitude-e7440-14-led-core-i5-4th-generation-4gb-ram-500gb-hdd-free-laptop-bag-windows-10-registered-windows-daraz-like-new-laptops-i316357450.html
235,"Lenovo ThinkPad E570 15.6 inch High Performance Business laptop, 500GB HDD, Intel Core i5 (7th Gen) 2.50 GHz, 8 GB DDR4, DVD RW, WiFi, HDMI/VGA, Gigabit LAN, fingerprint reader, Windows 10 Pro 64-bit - With Bag Gift - Daraz Like New Laptops","Rs. 51,999",//www.daraz.pk/products/e570-156-hdd-500gb-i5-7th-250-ghz-8-gb-ddr4-dvd-rw-wifi-hdmivga-10-64-i460148162.html
236,"HP ProBook 650 G1 15.6"" Business Ultrabook: Intel Core i5-4Th Gen  500GB  4GB DDR3  (1920x1080) FHD  DVD - Window 10 Pro - Daraz Like New Laptops","Rs. 39,999",//www.daraz.pk/products/hp-650-g1-156-4gb-ddr3-i5-4th-fhd-dvd-10-i350929695.html
237,Daraz Like New Laptops - Lenovo Chromebook 300E/500E X360 TOUCH SCREEN - 2027 UPDATE - Intel Celeron 4GB RAM 32GB Chrome OS,"Rs. 14,099",//www.daraz.pk/products/daraz-like-new-laptops-lenovo-chromebook-300e500e-x360-touch-screen-2027-update-intel-celeron-4gb-ram-32gb-chrome-os-i495230620.html
238,"Lenovo Thinkpad x270 Ultra Book, Core i5 7th generation, 8GB DDR4 Ram, 256GB SSD, 12.5"" Led Display, Intel HD Graphics Windows 11 Licensed (FREE LAPTOP BAG) - Daraz like new laptops","Rs. 37,994",//www.daraz.pk/products/lenovo-thinkpad-x270-ultra-book-core-i5-7th-generation-8gb-ddr4-ram-256gb-ssd-125-led-display-intel-hd-graphics-windows-11-licensed-free-laptop-bag-daraz-like-new-laptops-i456087131.html
239,"Dell Latitude E6440 14in Laptop, Core i5-4300M 2.6GHz, 4GB Ram, 500GB HDD, DVDRW, Windows 10 Pro - Daraz Like New Laptops","Rs. 38,999",//www.daraz.pk/products/e6440-14in-4gb-i5-4300m-ghz-dvdrw-26-gb-hdd-10-i350238101.html
